categorie,type,prix,adresse,image_lien
Chaussures Homme,Baskets Jordan One,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365710_uploaded_image1_1749417808.jpg
Chaussures Homme,Baskets Jordan 12,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365713_uploaded_image1_1749417889.jpg
Chaussures Homme,Baskets Jordan 3,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365706_uploaded_image1_1749417541.jpg
Chaussures Homme,Sandales orthopédiques,12 000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5403273_uploaded_image1_1751493058.jpg
Chaussures Homme,Baskets Adidas Samba,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365698_uploaded_image1_1749417367.jpg
Chaussures Homme,Baskets New Balance Fuel Cell,27 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365693_uploaded_image1_1749417266.jpg
Chaussures Homme,Basktes New Balance Fuel Cell,27 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365690_uploaded_image1_1749417178.jpg
Chaussures Homme,Baskets New Balance Fuel Cell,27 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365687_uploaded_image1_1749417092.jpg
Chaussures Homme,Chaussures New Balance,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5369209_uploaded_image1_1749635290.jpg
Chaussures Homme,Crocs,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5387384_uploaded_image1_1750640381.jpg
Chaussures Homme,Baskets Aire Force One,13 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361117_uploaded_image1_1749079520.jpg
Chaussures Homme,Baskets Air Force 1,18 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361113_uploaded_image1_1749079316.jpg
Chaussures Homme,Original Lavin,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361109_uploaded_image1_1749079193.jpg
Chaussures Homme,Sandales Dior,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361106_uploaded_image1_1749079052.jpg
Chaussures Homme,Sandales Berluti,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361104_uploaded_image1_1749078905.jpg
Chaussures Homme,Sandales homme,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5364541_uploaded_image1_1749327532.jpg
Chaussures Homme,Baskets Nike Kobe 6 Protro,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5401398_uploaded_image1_1751403395.jpg
Chaussures Homme,Baskets Nike M2K Tecno,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5401387_uploaded_image1_1751402825.jpg
Chaussures Homme,Baskets Jordan 1 high,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5401346_uploaded_image1_1751401243.jpg
Chaussures Homme,Chaussures homme,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5401340_uploaded_image1_1751401135.jpg
Chaussures Homme,Baskets Air Force One Suprême,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5401336_uploaded_image1_1751401037.jpg
Chaussures Homme,Baskets Jordan 4 Fear,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5401322_uploaded_image1_1751400730.jpg
Chaussures Homme,Sandales Gucci,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5360720_uploaded_image1_1749061990.jpg
Chaussures Homme,Baskets Adidas campus,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5368322_uploaded_image1_1749575502.jpg
Chaussures Homme,Baskets Dior b22,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5368328_uploaded_image1_1749575586.jpg
Chaussures Homme,Baskets Air Max scorpion,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5386909_uploaded_image1_1750612990.jpg
Chaussures Homme,Baskets Air force 1,16 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5386870_uploaded_image1_1750612086.jpg
Chaussures Homme,Chaussures Berluti,25 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5400882_uploaded_image1_1751384100.jpg
Chaussures Homme,Chaussures homme,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5360036_uploaded_image1_1749037560.jpg
Chaussures Homme,Chaussures homme,27 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5360018_uploaded_image1_1749037245.jpg
Chaussures Homme,Chaussures Nike,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5367848_uploaded_image1_1749555791.jpg
Chaussures Homme,Chaussures Air Louis vuitton,20 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5400189_uploaded_image1_1751368396.jpg
Chaussures Homme,Chaussures Air Jordan one low,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5376698_uploaded_image1_1750070197.jpg
Chaussures Homme,Chaussures Jordan 4,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359849_uploaded_image1_1749031529.jpg
Chaussures Homme,Chaussures Nike Vomero,25 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5400128_uploaded_image1_1751366626.jpg
Chaussures Homme,Air force 1,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359697_uploaded_image1_1749024937.jpg
Chaussures Homme,Chaussures hommes,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399786_uploaded_image1_1751350901.jpg
Chaussures Homme,Sandales homme,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399783_uploaded_image1_1751350820.jpg
Chaussures Homme,Chaussures hommes,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399782_uploaded_image1_1751350706.jpg
Chaussures Homme,Chaussures homme,23 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399778_uploaded_image1_1751350515.jpg
Chaussures Homme,Chaussures hommes,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399770_uploaded_image1_1751349884.jpg
Chaussures Homme,Chaussures Tommy,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399767_uploaded_image1_1751349787.jpg
Chaussures Homme,Timberlands homme,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399763_uploaded_image1_1751349629.jpg
