categorie,type,prix,adresse,image_lien,prix_brut,prix_numerique,a_prix,a_image
Chaussures Enfants,Chaussures Enfant,6 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3365662_uploaded_image1_1633268172.jpg,6 000CFA,6000.0,True,True
Chaussures Enfants,Mocassins Enfant En Daim,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3354895_uploaded_image1_1632752207.jpg,15 000CFA,15000.0,True,True
Chaussures Enfants,Chaussures Enfant,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3349497_uploaded_image1_1632394857.jpg,8 000CFA,8000.0,True,True
Chaussures Enfants,Chaussures Enfant,5 000CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3336753_uploaded_image1_1631736848.jpg,5 000CFA,5000.0,True,True
Chaussures Enfants,Chaussures Enfants,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3331774_uploaded_image2_1631522808.jpeg,Prix sur demande,,False,True
Chaussures Enfants,Baskets Enfants,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3327812_uploaded_image1_1631278298.jpg,7 000CFA,7000.0,True,True
Chaussures Enfants,Mocassins Enfant,15 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3319920_uploaded_image1_1630947708.jpg,15 000CFA,15000.0,True,True
Chaussures Enfants,Chaussures Enfant,13 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3312395_uploaded_image1_1630601772.jpg,13 500CFA,13500.0,True,True
Chaussures Enfants,Chaussures Enfants,2 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3305453_uploaded_image2_1630348767.jpeg,2 500CFA,2500.0,True,True
Chaussures Enfants,Chaussures Enfants,13 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3288174_uploaded_image1_1629374418.jpg,13 500CFA,13500.0,True,True
Chaussures Enfants,Chaussures Enfant,3 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3267690_uploaded_image1_1628334320.jpg,3 000CFA,3000.0,True,True
Chaussures Enfants,Chaussures  Fille,12 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3252340_uploaded_image1_1627653888.jpg,12 500CFA,12500.0,True,True
Chaussures Enfants,Chaussures Enfant,15 000CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3247099_uploaded_image1_1627387079.jpg,15 000CFA,15000.0,True,True
Chaussures Enfants,Babouches Enfant,7 000CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3231496_uploaded_image1_1626390253.jpg,7 000CFA,7000.0,True,True
Chaussures Enfants,Chaussures  Enfant,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3224546_uploaded_image1_1626108022.jpg,15 000CFA,15000.0,True,True
Chaussures Enfants,Chaussures Enfant,10 000CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3217622_uploaded_image1_1625766711.jpg,10 000CFA,10000.0,True,True
Chaussures Enfants,Chaussures À Talon Enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3202429_uploaded_image3_1625166497.jpeg,Prix sur demande,,False,True
Chaussures Enfants,Baskets Enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3196322_uploaded_image1_1624907984.jpg,Prix sur demande,,False,True
Chaussures Enfants,Baskets Air Jordan Enfant,15 000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_3171528_uploaded_image1_1623678884.jpg,15 000CFA,15000.0,True,True
Chaussures Enfants,Chaussures Bébé,5 000CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_3156703_uploaded_image1_1623001294.jpg,5 000CFA,5000.0,True,True
Chaussures Enfants,Chaussures Bébé,6 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3140539_uploaded_image1_1622331287.jpg,6 000CFA,6000.0,True,True
Chaussures Enfants,Chaussures Enfant,5 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3138744_uploaded_image1_1622222944.jpg,5 000CFA,5000.0,True,True
Chaussures Enfants,Chaussures Orthopédiques Enfants,12 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3128593_uploaded_image1_1621701550.jpg,12 000CFA,12000.0,True,True
Chaussures Enfants,Chaussures Enfant,8 500CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_3124327_uploaded_image1_1621494874.jpg,8 500CFA,8500.0,True,True
Chaussures Enfants,Chaussures Crops Bébé,5 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3106484_uploaded_image1_1620567535.jpg,5 000CFA,5000.0,True,True
Chaussures Enfants,Chaussures Enfants,2 500CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3105886_uploaded_image1_1620525968.jpg,2 500CFA,2500.0,True,True
